,user_id,group_id,creation_time
0,2622,94,1703618648
2,3203,94,1710096865
4,3292,94,1715324877
5,3300,95,1715786924
6,3322,94,1717430382
7,3112,94,1719496374
20,3123,103,1719923331
21,3126,103,1719922197
22,3122,103,1719923493
23,3134,103,1719924104
24,3129,103,1719924496
25,3135,103,1719923969
26,3131,103,1719929407
27,3130,103,1719929574
28,3141,103,1719929609
29,3132,103,1719923688
30,3133,103,1719923651
32,3128,103,1719929352
39,3112,103,1719496374
48,3157,103,1720595909
49,3150,103,1720595252
50,3151,103,1720595211
51,3146,103,1720595627
52,3147,103,1720595588
53,3145,103,1720595487
54,3148,103,1720537237
56,3159,105,1720629114
57,3158,105,1720629206
58,3153,105,1720629323
59,3152,105,1720629358
60,3155,105,1720629442
61,3154,105,1720629538
62,3165,105,1720629554
63,3164,105,1720629749
64,3167,105,1720629793
65,3166,105,1720629931
66,3161,105,1720629977
67,3160,105,1720630217
68,3163,105,1720630251
69,3172,105,1720804900
70,3175,105,1720804928
71,3170,96,1721731600
72,3181,96,1721731644
73,3180,96,1721731662
74,3183,96,1721731674
75,3182,96,1721731688
76,3177,96,1721731701
77,3176,96,1721731719
78,3189,101,1721826491
79,3188,101,1721826509
80,3191,101,1721826524
81,3190,101,1721826540
82,3185,101,1721826555
83,3199,95,1722580793
88,3972,112,1723121852
89,3975,112,1723121864
90,3974,112,1723121884
91,3969,112,1723121908
92,3968,112,1723121922
93,3971,112,1723121949
94,3970,112,1723121967
95,3981,112,1723121981
96,3980,112,1723121995
97,3983,112,1723122018
98,3982,112,1723122041
99,3977,112,1723122052
100,3976,112,1723122064
101,3978,112,1723122184
102,3989,112,1723122197
103,3988,112,1723122211
104,3991,112,1723122428
105,3996,95,1723456807
106,3993,101,1723619934
107,3992,101,1723619964
108,3995,101,1723619999
109,3994,96,1723652026
110,4005,96,1723652041
111,4004,96,1723652082
112,4007,112,1723709355
113,4003,108,1723819894
114,4002,108,1723819951
115,4013,108,1723819993
116,4014,108,1723996416
117,4009,108,1723996448
118,4008,108,1723996535
119,4011,108,1723996563
120,4010,108,1723996591
121,4021,108,1723996622
122,4020,108,1723996646
123,4023,108,1723996670
124,4017,108,1723996743
125,4016,108,1723996781
126,4019,108,1723996821
127,4018,108,1723996855
128,4029,108,1723996877
129,4028,108,1723996917
130,4031,108,1723996949
131,4030,108,1723996976
132,4025,110,1723997490
133,4024,110,1723997667
134,4027,110,1723997683
135,4026,110,1723997709
136,4037,110,1723997722
137,4036,110,1723997743
138,4039,110,1723997767
139,4038,110,1723997789
140,4033,110,1723997807
141,4032,110,1723997825
142,4035,110,1723998280
143,4058,104,1724000166
144,4069,104,1724000166
145,4068,104,1724000166
146,4071,104,1724000166
147,4070,104,1724000166
148,4064,104,1724000166
149,4067,104,1724000166
150,4066,104,1724000166
151,4077,104,1724000166
152,4079,104,1724000166
153,4078,104,1724000166
154,4073,104,1724000166
155,4072,104,1724000166
156,4074,104,1724000166
157,4085,104,1724000166
158,4084,104,1724000166
159,4087,104,1724000166
160,4086,104,1724000166
161,4081,104,1724000166
162,4080,104,1724000166
163,4083,104,1724000166
164,4082,104,1724000166
169,4042,113,1723999136
170,4061,113,1723999136
171,4048,113,1723999136
172,4057,113,1723999136
173,4053,113,1723999136
174,4052,113,1723999136
175,4050,113,1723999136
176,4062,113,1723999136
177,4034,113,1723999135
178,4040,113,1723999136
179,4063,113,1723999136
180,4056,113,1723999136
181,4055,113,1723999136
182,4059,113,1723999136
183,4047,113,1723999135
184,4045,113,1723999135
185,4054,113,1723999136
186,4046,113,1723999136
187,4051,113,1723999136
188,4044,113,1723999135
189,4095,113,1724011055
190,4089,110,1724037088
194,3845,109,1724058598
195,3844,109,1724058658
196,3847,109,1724058689
197,3846,109,1724058717
198,3841,109,1724058746
199,3840,109,1724058771
200,3843,109,1724058792
201,3842,109,1724058808
202,3853,109,1724058830
203,3852,109,1724058850
204,3855,109,1724058865
205,3854,109,1724058903
206,3849,109,1724058927
207,3848,109,1724058952
208,3851,109,1724058973
209,3850,109,1724058992
210,3861,109,1724059008
211,3860,109,1724059029
212,3863,109,1724059054
213,3862,109,1724059074
214,3857,109,1724059100
215,3856,109,1724059122
216,3859,109,1724059137
217,3858,109,1724059153
218,3869,109,1724059176
219,3868,109,1724059195
232,3873,113,1724135441
236,3884,99,1724231201
237,3887,99,1724231228
238,3886,99,1724231282
239,3881,99,1724231328
240,3880,99,1724231807
241,3883,99,1724231827
